epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3133.3,0.26617,0.19665,0.78357,0.9993,0.99926,0.995,0.85862,0.65478,0.26155,0.87329,0.000371313,0.000371313,0.000371313
43,3206.79,0.26341,0.19538,0.78357,0.99907,0.99906,0.99499,0.86153,0.6609,0.26403,0.87951,0.000365125,0.000365125,0.000365125
44,3280.64,0.26457,0.19306,0.78308,0.99832,0.99929,0.99499,0.87672,0.60528,0.24964,0.86404,0.000358938,0.000358938,0.000358938
45,3355.27,0.2668,0.19501,0.78302,0.99892,0.99887,0.99479,0.86876,0.62277,0.25359,0.86833,0.00035275,0.00035275,0.00035275
46,3428.74,0.26278,0.19136,0.78281,0.99859,0.99876,0.99489,0.86985,0.62821,0.25691,0.87314,0.000346563,0.000346563,0.000346563
47,3502.46,0.2609,0.19027,0.7826,0.99875,0.99941,0.9944,0.87535,0.61173,0.24535,0.87089,0.000340375,0.000340375,0.000340375
48,3576.38,0.26071,0.18959,0.78154,0.99843,0.99856,0.995,0.87346,0.62178,0.25369,0.86923,0.000334188,0.000334188,0.000334188
49,3651.01,0.25551,0.18745,0.78253,0.99849,0.99931,0.99495,0.85997,0.66436,0.25891,0.87904,0.000328,0.000328,0.000328
50,3725.52,0.26106,0.18713,0.78316,0.99911,0.99921,0.995,0.87204,0.63537,0.25446,0.87272,0.000321812,0.000321812,0.000321812
51,3799.17,0.25996,0.18452,0.78229,0.9981,0.99967,0.99499,0.86979,0.62081,0.24734,0.87048,0.000315625,0.000315625,0.000315625
52,3874.69,0.25805,0.18426,0.78233,0.99925,0.9998,0.995,0.87523,0.61745,0.24289,0.86837,0.000309437,0.000309437,0.000309437
53,3949.61,0.25399,0.18402,0.78156,0.99942,0.99949,0.995,0.87416,0.60884,0.24316,0.86631,0.00030325,0.00030325,0.00030325
54,4023.01,0.25187,0.18195,0.78333,0.99896,0.99868,0.995,0.87735,0.59501,0.23952,0.86084,0.000297063,0.000297063,0.000297063
55,4097.04,0.25019,0.18023,0.78291,0.99878,0.99925,0.995,0.86674,0.63106,0.24932,0.87487,0.000290875,0.000290875,0.000290875
56,4171.77,0.25087,0.18249,0.78347,0.99869,0.99954,0.99493,0.86661,0.62978,0.24679,0.87678,0.000284688,0.000284688,0.000284688
57,4245.19,0.25233,0.18329,0.78322,0.99921,0.99993,0.995,0.86432,0.64166,0.24977,0.87783,0.0002785,0.0002785,0.0002785
58,4318.96,0.24378,0.17485,0.78195,0.99896,0.99955,0.995,0.87792,0.59678,0.23668,0.86076,0.000272313,0.000272313,0.000272313
59,4393.29,0.24267,0.17504,0.78063,0.99945,0.99983,0.995,0.87454,0.61353,0.24561,0.86854,0.000266125,0.000266125,0.000266125
60,4467.31,0.24633,0.17767,0.78136,0.99927,0.99957,0.995,0.87908,0.59654,0.23706,0.86287,0.000259938,0.000259938,0.000259938
61,4540.9,0.2423,0.17457,0.78162,0.99924,0.99952,0.995,0.87728,0.59973,0.23695,0.8635,0.00025375,0.00025375,0.00025375
62,4615.34,0.24924,0.17952,0.78279,0.99886,0.99924,0.995,0.87937,0.58596,0.23577,0.86132,0.000247563,0.000247563,0.000247563
63,4690.14,0.24073,0.17388,0.78267,0.99951,0.99935,0.995,0.86989,0.62517,0.24489,0.87313,0.000241375,0.000241375,0.000241375
64,4764.77,0.24211,0.17379,0.781,0.99896,0.99945,0.99499,0.86073,0.66562,0.25578,0.88805,0.000235188,0.000235188,0.000235188
65,4839.12,0.23796,0.16964,0.77925,0.99919,0.99959,0.995,0.87444,0.62028,0.2401,0.87497,0.000229,0.000229,0.000229
66,4914.38,0.23405,0.16933,0.7807,0.99906,0.99968,0.995,0.87117,0.62517,0.24173,0.87386,0.000222813,0.000222813,0.000222813
67,4988.29,0.2354,0.17005,0.7793,0.99854,0.99947,0.995,0.87525,0.60554,0.23764,0.86493,0.000216625,0.000216625,0.000216625
68,5062.99,0.23525,0.16872,0.7795,0.99922,0.99975,0.995,0.87437,0.61199,0.23718,0.87156,0.000210437,0.000210437,0.000210437
69,5138.55,0.23271,0.16672,0.78048,0.99921,0.99955,0.995,0.87266,0.62053,0.24339,0.87631,0.00020425,0.00020425,0.00020425
70,5212.8,0.23683,0.16842,0.78059,0.99879,0.99929,0.99495,0.86559,0.6521,0.24736,0.88259,0.000198063,0.000198063,0.000198063
